1-stan-1290	26	.		Il	appela	donc						un		des	serviteurs									,	et		lui					demanda				ce 	que 	c’			était																							.
2-auve-1239	26	. —			Sounét							én			doumestique										é		dy					demandét			quèsaco																													?
3-wall-1255	26	.		I	houke							onk		des	vârlets										et		ly					demande				çou	qu’	çoula				vont 	dire																					.
4-wall-1255	26	.	Et	i	houka							onque		des	siervans									,	et	il	li					demanda				çou	"k’
            "	c'			esteut						çoula																	.
5-wall-1255	26	.	Et	il	appelle							onque		des	vaurlets										et		li					d’mande				ci	"qui
            "	ça				v’ioit	dire																					.
6-wall-1255	26	.		I	crie		après					ein		des	varlets										et	i	li					demande				chu	"que
            "	ch’			est				que	tout	choa																	?
7-camb-1242	26	.		Il	huka	don						éen		de ses	varlets										et		li					d’méenda				chou	k’		il					avau																				.
8-arto-1238	26	.		Il	o crié							ch’			varlet										et					s’o ainquêté				d’	ii	chou	q’	"ch’
            "			étouait																							.
9-arto-1238	26	.		Il	a crié		après					un		ed ses	varlets		pou	 savor																		chou	qu’		i 	n’i				avo																				.
10-arto-1238	26	.		Il	cria	don						un		de ché	garchons										et		ly					demanda				ce	qui			"ni
"				avouët																				;
11-wall-1255	26	.	Y	l’	é houchi							unq		dé											e	y	ly					e dmendé				s’	qué	s’			esto																							.
12-lorr-1242	26	.	Y		houheu	don						ainque		des	valots									,	et		li					demaudeu				ce	"que
            "	ç’			oteu																							.
13-lorr-1242	26	.		I	hoïeu							in		des	valais										et		li					demandeu				ce	que	ç’			ato																							;
14-lorr-1242	26	.		I	hoyet	don						in		des	valats		po	savoi																		cqu’					sétaza																							.
15-lorr-1242	26	.		El	heché							in							de vaula						et		li					demandé				sou	que												sire															.
16-alem-1243	26	.	Et	ai l’	applai							nin		des	valats										et	ai y						demandai				so	"que
            "	c’			était																							.
17-fran-1270	26	.		Al	appella							un		des	valas										et		li					demanda				sa	que	c’			état																							.
18-fran-1270	26	.		Al	appelit							in		des	volots									,	a		li					demandit				cos	que	c’			éta 				que		sola																	.
20-fran-1270	26	.		El	épelai							ûn		dâs	vôlo	,	pou	seivoi																		ç'	que	ç’			ètoi				qu’	to    		ç'		Trein-lei														
21-fran-1270	26	.		ai l’	aippellai							ein		de ses	vauleus										et		l’y					demandai				"ce
            "	que	ç'			aitot																							.
22-fran-1270	26	.		L’	aippelait							l'un		das	sarviteurs										et		ly					demandet				ç’	que	c’			éta																							?
23-bour-1247	26	.		Ol	aipelé							l'ein		das	valots										et		ol y					demandé			quoi		qu’		y 					atol	que	tout	celai																	.
24-poit-1241	26	.		V’	app’lé							eun		deux	vâlé					de son paire				,	ét		li					demandé				"ce
            "	que	qu’													oîrre													.
26-poit-1241	26	.		Il	appelit							in		dez	valet										et		li					demandit				ce	qu’		ol		était																							.
29-poit-1241	26	.		Il	appelit							in		des	valet		pre				queneutre															ce	qu’		o	n’en n’	étoit																							.
30-poit-1241	26	.	Y		sounit							un		dey	valet							à qui			y							demandit				ce	que	queu			eytet																							.
31-limo-1246	26	.		I	sounit							un		des	valet										et		li					demmandit				san	qu’		ou l’		était																							.
33-limo-1246	26	.		Oôu	souné			aoussitôt				un		doôu	veleys									,	et		li					damandé			quo   		qué	qu’			éro																							.
34-lang-1309	26	.			Opéloit	doun						un		déous	domestiqués									,	et		i					domondoit			qu’						éro											oco												.
35-limo-1246	26	.		V'	appellé							eun		deue	valaîs					de soun paîré					é		li					damandé			quo		qué	qu’	ou		êro																							.
36-limo-1246	26	.		Au	opèlet							un		daûs	valeis										et	au	ly			disset			:		Quei									a								"co
            "												?
37-limo-1246	26	.		Au	appellé			aussitô				un		daus	serviteurs										et		ly					damandé				"ce
            "	qué	qué	quô		érô																							.
38-auve-1239	26	.		lau	brame							ein		dau	valei		po	saubre																		ce	que	quo	z’		ero																							.
39-lang-1309	26	.			Opelet							un			doum’stic										et		li					demondet						qu’			éro											oquo												.
40-lang-1309	26	.		El	sounèt							un		des	doumestiques		per	saoupre									del											qu'			ero											ocouo												.
41-lang-1309	26	.			Cridec							un		des	baylets										e		ye					demandée						qu’			éro											aco												.
42-limo-1246	26	.			Sounét							un		dos	beyletzély																	demandét				so		qu’			ère											aco												.
43-gasc-1240	26	.		É	apperec							un			baylet									,	el	qu’eou						demandée				ço		qu’			ero				que      	tout						aco												.
44-lang-1309	26	.		É	cridec							un		des	bailets										é		i					demandée						qu’			éro											co												.
45-lang-1309	26	.	Et		quirdec							un		des	baillets										et							demandée						qu’			eron												aqueros causos											.
46-lang-1309	26	.		El	appèlèc							un		dès	serbitous										et		ly					demandée				so		qu’			èro											aco												.
47-lang-1309	26	.	Et		crideg							un		des	baillets										et		ly					demandeg						qu’			ero					"tout
            "						aquo												.
48-lang-1309	26	.	Et		crideg							un		des	baillets										et		ly					demandeg						qu’			ero					"tout
            "						aquo												.
49-cata-1291	26	.	Y		crida							un			mosso									,	y		li					demana						que																cosa se passava										.
51-lang-1309	26	.			Cirdéc							un		das	bailets									,	et		y					démandéc						qué			éro											aco												.
52-lang-1309	26	.			Sounet							un			barlet										et		li					demandet		de							quero											aco												.
53-lang-1309	26	.			Sonna	doun						un			barlet										et		ye					demanda		de				qu’			és					tout    						aco												.
54-lang-1309	26	.			Apélét	dounc						un		des	bailets										et		ly					demandét					"que
            "																		signifiabo àquelo joyo									?
55-lang-1309	26	.	E		appelét							un		dès sous	barlets										a		caou					demandét		de				qu’			éro											acco												.
56-lang-1309	26	.			Sonnet							un		das	barles		per	saoupre										d’el						dé				qué			era											aco												.
57-auve-1239	26	.			Appelet							un		dous	veilets										et		lli					damandet		de				qu’			ére											aquo												.
58-viva-1235	26	.			Souné							un		dos	messagés		per	saoupré																de		le	ce	que			ero					tout						oquo												.
59-viva-1235	26	.		O	sonnait							unou		dou	valets										et		li					demandait				ce	qual	vque								tout						iquo												.
